N.º,País,Inmigrantes​ >> Cantidad de inmigrantes,Inmigrantes​ >> % del total de inmigrantes del mundo
00, Mundo,536 288 358,100.0
01, Estados Unidos,50 661 149,15.42%
02, Alemania,13 132 146,15.79%
03,Rusia,12 900 279,38.50%
04, Arabia Saudita,10 500 509,7.93%
05, Reino Unido,9 522 110,14.25%
06,Emiratos Árabes Unidos,8 587 256,79.89%
07, Francia,8 334 875,12.38%
08, Canadá,7 960 657,21.18%
09, Australia,7 549 270,29.55%
10, Italia,6 273 722,10.52%
11, España,6 104 203,12.90%
12, Turquía,5 876 829,7.07%
13, India,5 154 737,0.38%
14,Ucrania,4 964 293,11.90%
15, Sudáfrica,4 224 256,7.19%
16, China​,3 973 125,0.28%
17,Kazajistán,3 705 556,19.89%
18, Tailandia,3 635 085,5.22%
19, Malasia,3 430 380,10.55%
20, Jordania,3 346 703,33.13%
21, Pakistán,3 257 978,1.59%
22, Kuwait,3 034 845,72.14%
23, Irán,2 682 214,3.22%
24, Suiza,2 572 029,29.89%
25, Costa de Marfil,2 549 141,9.91%
26, Japón,2 498 891,1.98%
27, Omán,2 286 226,49.51%
28, Países Bajos,2 286 791,13.11%
29, Catar,2 282 791,78.73%
30, Argentina,2 212 879,4.92%
31, Bangladés,2 185 613,1.34%
32, Singapur,2 155 653,37.79%
33,Suecia,2 055 210,19.42%
34, Bélgica,1 981 919,17.20%
35, Israel,1 956 346,21.61%
36, Líbano,1 863 873,27.19%
37, Austria,1 779 857,20%
38, Uganda,1 734 166,3.92%
39, Chile,1 462 103,7%
40,Venezuela,1 375 690,4.82%
41, Nigeria,1 256 408,0.63%
42, Etiopía,1 253 083,1.12%
43, Sudán,1 223 092,2.86%
44, Grecia,1 211 382,11.30%
45, Uzbekistán,1 168 384,3.51%
46, Corea del Sur,1 163 655,2.25%
47, Colombia,1 142 319,3.47 %
48,Bielorrusia,1 069 395,11.37%
49, Nueva Zelanda,1 068 739,21.43%
50,México,1 060 707,0.84%
